congressionaldistrict,cty_fips,czone,dhs2_tot_cont_2002_2010,dhs2_cont_tcile1_2002_2004,dhs2_cont_tcile1_2002_2006,dhs2_cont_tcile1_2002_2008,dhs2_cont_tcile1_2002_2010,dhs2_cont_tcile1_2002_2012,dhs2_cont_tcile1_2002_2014,dhs2_cont_tcile1_2002_2016,dhs2_cont_tcile2_2002_2004,dhs2_cont_tcile2_2002_2006,dhs2_cont_tcile2_2002_2008,dhs2_cont_tcile2_2002_2010,dhs2_cont_tcile2_2002_2012,dhs2_cont_tcile2_2002_2014,dhs2_cont_tcile2_2002_2016,dhs2_cont_tcile3_2002_2004,dhs2_cont_tcile3_2002_2006,dhs2_cont_tcile3_2002_2008,dhs2_cont_tcile3_2002_2010,dhs2_cont_tcile3_2002_2012,dhs2_cont_tcile3_2002_2014,dhs2_cont_tcile3_2002_2016,d2_turnout_2002_2010,d2_shnr_2002_2004,d2_shnr_2002_2006,d2_shnr_2002_2008,d2_shnr_2002_2010,d2_shnr_2002_2012,d2_shnr_2002_2014,d2_shnr_2002_2016,d2_shnr_distr_2002_2010,d2_shnr_solidd_2002_2010,d2_shnr_solidr_2002_2010,d2_shnr_competitive_2002_2010,d2_rwin_2002_2004,d2_rwin_2002_2006,d2_rwin_2002_2008,d2_rwin_2002_2010,d2_rwin_2002_2012,d2_rwin_2002_2014,d2_rwin_2002_2016,d2_cfavg_demlib_2002_2004,d2_cfavg_demlib_2002_2006,d2_cfavg_demlib_2002_2008,d2_cfavg_demlib_2002_2010,d2_cfavg_demlib_2002_2012,d2_cfavg_demlib_2002_2014,d2_cfavg_demlib_2002_2016,d2_cfavg_demmod_2002_2004,d2_cfavg_demmod_2002_2006,d2_cfavg_demmod_2002_2008,d2_cfavg_demmod_2002_2010,d2_cfavg_demmod_2002_2012,d2_cfavg_demmod_2002_2014,d2_cfavg_demmod_2002_2016,d2_cfavg_repmod_2002_2004,d2_cfavg_repmod_2002_2006,d2_cfavg_repmod_2002_2008,d2_cfavg_repmod_2002_2010,d2_cfavg_repmod_2002_2012,d2_cfavg_repmod_2002_2014,d2_cfavg_repmod_2002_2016,d2_cfavg_repcon_2002_2004,d2_cfavg_repcon_2002_2006,d2_cfavg_repcon_2002_2008,d2_cfavg_repcon_2002_2010,d2_cfavg_repcon_2002_2012,d2_cfavg_repcon_2002_2014,d2_cfavg_repcon_2002_2016,d2_nominate_demlib_2002_2010,d2_nominate_demmod_2002_2010,d2_nominate_repmod_2002_2010,d2_nominate_repcon_2002_2010,d2_teaparty_2002_2010,d_party_2002_2004,d_party_2004_2006,d_party_2006_2008,d_party_2008_2010,d_party_2010_2012,d_party_2012_2014,d_party_2014_2016,d_imp_usch_pd,d_imp_otch_lag_pd,reg_midatl,reg_encen,reg_wncen,reg_satl,reg_escen,reg_wscen,reg_mount,reg_pacif,l_shind1_manuf_cbp,l_shind2_routine33,l_shind3_task_outsource,shnr_pres2000,shnr_pres1996,l_sh_dem_f,l_sh_dem_edu_c,l_sh_dem_fborn,l_sh_dem_age_1019,l_sh_dem_age_2029,l_sh_dem_age_3039,l_sh_dem_age_4049,l_sh_dem_age_5059,l_sh_dem_age_6069,l_sh_dem_age_7079,l_sh_dem_age_8000,l_sh_dem_white,l_sh_dem_black,l_sh_dem_asian,l_sh_dem_hispanic,sh_district_2002,majority_white,redistrict_2004,redistrict_2006,redistrict_2012,redistrict_2016
AL 2,1001,11101,168.77229,71.363838,133.71602,199.61758,199.6543,199.6543,199.65126,199.65305,24.796967,45.723888,129.89957,131.39278,131.39278,93.766685,98.798317,46.655842,29.21312,174.53754,164.2962,164.2962,148.03569,149.51611,0.082577169,1.763773,-0.22357106,-18.13488,-12.537318,-12.537318,-9.2259827,-20.584471,-18.864763,0,0,-12.537318,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,100,100,0,0,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,1,1,0,0,0,0.440793055,1.009527369,0,0,0,0,1,0,0,0,0.14048532,33.071648,-0.17318562,0.70815974,0.65470374,0.51407111,0.4489108,0.011655332,0.16028944,0.11577477,0.1608848,0.15339699,0.11215681,0.078702115,0.045201622,0.021524582,0.80650777,0.17112042,0.004579698,0.013968079,0.065927677,1,0,0,1,0
AL 1,1003,11001,-117.70763,-55.915798,-158.0061,-61.924953,-81.853912,-81.853905,-68.479958,-84.870064,-79.201859,-131.27968,-131.0818,-124.61362,-124.61364,-134.91939,-150.65724,-103.94389,-113.72478,-132.21167,-116.51646,-116.51646,-104.00072,-197.46442,-0.005553663,0.10681152,4.1402636,25.316685,25.316685,25.316685,9.4584103,25.316685,38.44165,0,25.316685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,0,0,0.465002791,1.144130032,0,0,0,0,1,0,0,0,0.1506284,28.370228,-0.65440798,0.74493051,0.69773662,0.509682,0.52415371,0.021059005,0.13963608,0.10810811,0.14016309,0.15235552,0.12570594,0.09767475,0.072371185,0.03503187,0.8714596,0.1028665,0.003824378,0.017562225,0.22768584,1,0,0,1,0
AL 2,1005,10301,168.77229,71.363838,133.71602,199.61758,199.6543,199.6543,199.65126,199.65305,24.796967,45.723888,129.89957,131.39278,131.39278,93.766685,98.798317,46.655842,29.21312,174.53754,164.2962,164.2962,148.03569,149.51611,0.083380342,5.9083939,0.91684461,-14.591587,-13.132996,-13.132996,-11.755795,-16.771925,-18.864763,0,0,-13.132996,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,100,100,0,0,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,1,1,0,0,0,1.178945958,2.748822144,0,0,0,0,1,0,0,0,0.40112627,26.827314,-0.62630641,0.49550188,0.43104917,0.48446864,0.32244921,0.01498037,0.14825401,0.13726841,0.15004477,0.14264068,0.11688133,0.07579723,0.061436739,0.035401888,0.51267302,0.4632206,0.002892761,0.016461188,0.045792211,1,0,0,1,0
AL 6,1007,10801,55.123287,51.724327,62.022858,6.3881307,110.32405,110.32405,36.654449,-200,21.738234,34.72673,25.310242,33.271778,33.271778,-200,-200,64.987488,96.117279,66.784042,75.815132,75.815132,140.61888,-200,0.031020969,0,0,0,0,0,6.8159876,7.2119236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744874706,1.301444722,0,0,0,0,1,0,0,0,0.23542571,29.567591,-0.56862885,0.61191905,0.52254987,0.48405838,0.2745938,0.004273505,0.13737635,0.14539517,0.15562278,0.14361855,0.11548065,0.07692308,0.054499183,0.028041871,0.76663786,0.22203015,0.000816287,0.01008355,0.032388292,1,0,0,1,0
AL 4,1009,10700,49.864452,22.099955,-118.47372,24.991526,-22.830339,-22.830374,-200,-200,-29.406401,-30.742138,-33.32225,-32.410435,-32.410454,-200,-200,57.28038,55.494926,27.233528,92.217857,92.21785,152.30037,-200,-0.01826632,-16.492535,-23.388571,-17.77392,0,0,7.86584,9.4774961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100,-100,-100,-100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0.254647189,0.67577232,0,0,0,0,1,0,0,0,0.13256846,32.234402,-0.14603272,0.71793824,0.64151555,0.50070554,0.34437126,0.030985419,0.13805269,0.12770461,0.14985105,0.14418705,0.12256977,0.088644557,0.057580747,0.031063814,0.95076829,0.011876764,0.001391502,0.053269051,0.079114355,1,0,0,1,0
AL 2,1011,9800,168.77229,71.363838,133.71602,199.61758,199.6543,199.6543,199.65126,199.65305,24.796967,45.723888,129.89957,131.39278,131.39278,93.766685,98.798317,46.655842,29.21312,174.53754,164.2962,164.2962,148.03569,149.51611,0.12556666,1.0537565,-3.0776322,-15.166882,-12.950221,-12.950221,-13.059924,-17.355104,-18.864763,0,0,-12.950221,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,100,100,0,0,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,1,1,0,0,0,0.656769435,1.723454782,0,0,0,0,1,0,0,0,0.2031696,30.064594,-0.51492304,0.2968004,0.27266136,0.47584087,0.25244385,0.030561721,0.15075977,0.14871095,0.14017415,0.14785726,0.10474646,0.070513912,0.053611062,0.04584258,0.25251836,0.73109102,0.001792727,0.027488476,0.018304197,0,0,0,1,0
AL 2,1013,11101,168.77229,71.363838,133.71602,199.61758,199.6543,199.6543,199.65126,199.65305,24.796967,45.723888,129.89957,131.39278,131.39278,93.766685,98.798317,46.655842,29.21312,174.53754,164.2962,164.2962,148.03569,149.51611,0.11879137,2.2158623,3.1822801,-19.784534,-15.912351,-15.912351,-11.379168,-20.492155,-18.864763,0,0,-15.912351,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,100,100,0,0,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,1,1,0,0,0,0.440793055,1.009527369,0,0,0,0,1,0,0,0,0.14048532,33.071648,-0.17318562,0.53370333,0.46683261,0.53180051,0.33260697,0.00364503,0.16360578,0.10944436,0.12407122,0.14556755,0.11397729,0.086592831,0.070610777,0.050750036,0.58376563,0.40805644,0.001635591,0.006682555,0.033083316,1,0,0,1,0
AL 3,1015,9600,-65.813004,-84.071823,-185.25688,-34.923306,-75.545624,-75.545624,-98.868027,-98.16468,-12.021504,-66.04689,23.803648,-42.008091,-42.008091,-106.68721,-115.14009,-7.9156051,-65.178833,-58.123219,-72.010941,-72.010941,-93.206429,-101.23463,0.075974882,11.798734,10.435658,1.1059284,8.5551376,8.5551376,10.130083,11.553502,8.4113007,0,0,8.5551376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.564123632,2.717089601,0,0,0,0,1,0,0,0,0.32883412,31.02747,-0.54100108,0.58565736,0.53493452,0.52158147,0.41668582,0.016989015,0.13941327,0.13566267,0.13789877,0.15147574,0.12085631,0.088036418,0.065915957,0.033024792,0.78875536,0.18539141,0.005639249,0.015617066,0.17920695,1,0,0,1,0
AL 3,1017,9600,-65.813004,-84.071823,-185.25688,-34.923306,-75.545624,-75.545624,-98.868027,-98.16468,-12.021504,-66.04689,23.803648,-42.008091,-42.008091,-106.68721,-115.14009,-7.9156051,-65.178833,-58.123219,-72.010941,-72.010941,-93.206429,-101.23463,0.1141617,3.4833522,11.568859,2.813354,7.5730414,7.5730414,10.433629,11.935857,8.4113007,0,0,7.5730414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.564123632,2.717089601,0,0,0,0,1,0,0,0,0.32883412,31.02747,-0.54100108,0.51802582,0.46048632,0.52751279,0.32069233,0.008036519,0.13544543,0.12503076,0.13314928,0.14061175,0.12084848,0.088866413,0.071262605,0.047180384,0.60878003,0.38113332,0.001858787,0.007653828,0.057580676,1,0,0,1,0
AL 3,1019,6600,-65.813004,-84.071823,-185.25688,-34.923306,-75.545624,-75.545624,-97.241905,-96.613823,-12.021504,-66.04689,23.803648,-42.008091,-42.008091,-106.69588,-113.95622,-7.9156051,-65.178833,-58.123219,-72.010941,-72.010941,-94.378922,-101.02014,0.12149879,19.317204,13.523298,14.907146,20.620722,20.620722,22.586632,26.992929,8.4113007,0,0,20.620722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905913207,2.118789218,0,0,0,0,1,0,0,0,0.40003046,31.92046,-0.23631465,0.54294479,0.40931705,0.5083375,0.28659731,0.010797065,0.12164415,0.1181424,0.13694347,0.14411372,0.13836084,0.11159746,0.070076704,0.036184758,0.92829746,0.05544439,0.001417375,0.008504252,0.038994271,1,0,0,1,0
